title,link,price
Mi 3i 20000 mAh Portable Fast Charging Power Bank - Black,http://www.paytmmall.com/mi-3i-20000-mah-portable-fast-charging-power-bank-black-CMPLXMOBMI-POWER-BANGARG456329731DE34-pdp?product_id=335093219&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C1%7C%7C%7C%7C&get_review_id=334892438,"1,899"
Syska Power Pro 200 20000 mAh Portable Power Bank - Black,http://www.paytmmall.com/syska-power-pro-200-20000-mah-power-bank-black-lithium-polymer-CMPLXMOBSYSKA-POWER-SYSK1656258AFD9E23-pdp?product_id=113506089&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C2%7C%7C%7C%7C&get_review_id=113506092,"1,399"
Ambrane PP-20 20000 mAh Power Bank - Black,http://www.paytmmall.com/ambrane-pp-20-20000-mah-power-bank-black-CMPLXMOBAMBRANE-PP-2DUMM14181364A3B-pdp?product_id=197975729&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C3%7C%7C%7C%7C&get_review_id=197975732,"1,299"
Portronics POR-1017 20000 mAh Portable Power Bank - Black,http://www.paytmmall.com/portronics-20000-mah-portable-power-bank-black-CMPLXMOBPORTRONICS-PPORT2320430C0B25D-pdp?product_id=302252195&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C4%7C%7C%7C%7C&get_review_id=331221407,"1,229"
Redmi PB200LZM 20000 mAh Portable Power Bank - White,http://www.paytmmall.com/redmi-pb200lzm-20000-mah-portable-power-bank-white-CMPLXMOBMI-20000MAH-CELE2124629178221-pdp?product_id=317967936&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C5%7C%7C%7C%7C&get_review_id=330114269,"1,499"
Coolnut CMPBAND-53 20000 mAh Power Bank - Black,http://www.paytmmall.com/coolnut-cmpband-53-20000-mah-power-bank-black-CMPLXMOBCOOLNUT-CMPBF-EY172156E43C2ACD-pdp?product_id=228159347&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C6%7C%7C%7C%7C&get_review_id=228159349,"1,599"
Tiitan P20 20000 mAh Portable Power Bank - Black,http://www.paytmmall.com/tiitan-p20-20000-mah-portable-power-bank-red-MOBTIITAN-20000TITA1164991C7BBEBA4-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C7%7C%7C%7C%7C&get_review_id=331062950,849
Zebronics 20000 mAh  Power Bank - Black,http://www.paytmmall.com/zebronics-20000-mah-power-bank-black-MOBZEBRONICS-ZEGRAV712019B2160531-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C8%7C%7C%7C%7C&get_review_id=337530331,999
Gionee PB20K2D 20000 mAh Portable Power Bank - White,http://www.paytmmall.com/gionee-pb20k2d-20000-mah-portable-power-bank-white-CMPLXMOBGIONEE-20000DUMM202569539C483-pdp?product_id=338047261&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C9%7C%7C%7C%7C&get_review_id=338047262,"1,099"
ALPRA Fast 20 20000 mAh Li- Polymer Power Bank 18W Fast Charging-Navy Blue,http://www.paytmmall.com/alpra-smart-alpra-fast20-20000-mah-fast-charging-qualcomm-power-bank-blue-MOBALPRA-FAST-2ALPR1165943479BE2AD-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C10%7C%7C%7C%7C&get_review_id=331718908,"1,299"
Benison India BPB21 20000 mAh Portable Fast Charging Power Bank - White,http://www.paytmmall.com/benison-india-bpb21-20000-mah-portable-fast-charging-power-bank-white-MOBBENISON-INDIBENI38711822A6F62-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C11%7C%7C%7C%7C&get_review_id=331650820,"1,449"
CallOne COPB-216 20000 mAh Portable Power Bank - White,http://www.paytmmall.com/callone-copb-216-20000-mah-portable-power-bank-white-MOBCALLONE-M6-2CALL2345790D6743B-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C12%7C%7C%7C%7C&get_review_id=331279993,899
Mi 2i 20000 mAh Portable Power Bank - Black,http://www.paytmmall.com/mi-20000-mah-li-polyme-power-bank-black-CMPLXMOBMI-20000-MAHCELE212465136B9D4-pdp?product_id=333882244&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C13%7C%7C%7C%7C&get_review_id=287806426,"1,599"
Syska Power Mate P2105J 20000 mAh Portable Power Bank - White,http://www.paytmmall.com/syska-power-mate-p2105j-20000-mah-portable-power-bank-white-MOBSYSKA-PORTABSYSK16562554AF879F-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C14%7C%7C%7C%7C&get_review_id=337419585,"1,799"
Ambrane Neos 20000 mAh Fast Charging Power Bank - Black,http://www.paytmmall.com/ambrane-neos-20000-mah-fast-charging-power-bank-black-MOBAMBRANE-NEOSBJ-I5861267E6DE3A4-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C15%7C%7C%7C%7C&get_review_id=333766404,"1,299"
Portronics POR-294 20000 mAh Portable Power Bank - Black,http://www.paytmmall.com/portronics-por-294-indo-20d-20000mah-power-bank-with-led-digital-display-black-CMPLXMOBPORTRONICS-PPORT2320439051C78-pdp?product_id=238095271&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C16%7C%7C%7C%7C&get_review_id=242748169,"1,599"
Tiitan P20 20000 mAh Portable Power Bank - Pink,http://www.paytmmall.com/tiitan-p20-20000-mah-portable-power-bank-black-MOBTIITAN-20000TITA116499168B57447-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C17%7C%7C%7C%7C&get_review_id=331062949,849
ALPRA SMART ALPRA-FAST20 20000 mAh Fast Charging (Qualcomm) Power Bank - Black,http://www.paytmmall.com/alpra-smart-alpra-fast20-20000-mah-fast-charging-qualcomm-power-bank-black-MOBALPRA-FAST-2ALPR1165943ADF2E1BF-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C18%7C%7C%7C%7C&get_review_id=331718907,"1,299"
CallOne COPB-220 20000 mAh Portable Power Bank - White,http://www.paytmmall.com/callone-copb-220-20000-mah-portable-power-bank-white-MOBCALLONE-COPBCALL23457C062170E-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C19%7C%7C%7C%7C&get_review_id=331279980,"1,079"
Refurbished Mi Power Bank 3I 20000Mah (Sandstone Black) Triple Output And Dual Input Port | 18W Fast Charging | Power Delivery (Grade: Excellent),http://www.paytmmall.com/refurbished-mi-power-bank-3i-20000mah-sandstone-black-triple-output-and-dual-input-port-18w-fast-charging-power-delivery-grade-excellent-REFREFURBISHED-GOOD115062561560E09-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=228093&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C20%7C%7C%7C%7C&get_review_id=338071681,"1,099"
Syska Power Pro 200 20000 mAh Portable Power Bank - White,http://www.paytmmall.com/syska-power-pro-200-20000mah-white-CMPLXMOBSYSKA-POWER-DUMM141C644444-pdp?product_id=113107620&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C21%7C%7C%7C%7C&get_review_id=113107682,"1,399"
Ambrane PP-20 20000 mAh Power Bank - Green,http://www.paytmmall.com/ambrane-pp-20-20000-mah-lithium-polymer-coated-with-specialized-rubber-material-power-bank-olive-green-MOBAMBRANE-PP-2BJ-I586126C1600305-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C22%7C%7C%7C%7C&get_review_id=280984774,"1,299"
Portronics Power M 20K POR-1224 20000 mAh Portable Power Bank - Black,http://www.paytmmall.com/portronics-power-m-20k-por-1224-20000-mah-portable-power-bank-black-MOBPORTRONICS-PPORT23204A29921B1-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C23%7C%7C%7C%7C&get_review_id=338112730,"1,299"
Tiitan P20 20000 mAh Portable Power Bank - White,http://www.paytmmall.com/tiitan-p20-20000-mah-portable-power-bank-pink-MOBTIITAN-20000TITA1164991A1287FF7-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C24%7C%7C%7C%7C&get_review_id=331062952,849
Ambrane PP-20 20000 mAh Power Bank - Red,http://www.paytmmall.com/ambrane-pp-20-20000mah-lithium-polymer-power-bank-red-CMPLXMOBAMBRANE-PP-2DUMM14112C1E537-pdp?product_id=219559372&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C25%7C%7C%7C%7C&get_review_id=219559373,"1,299"
Syska Power Core P2006J 20000 mAh Portable Power Bank - Black,http://www.paytmmall.com/syska-power-core-p2006j-20000-mah-portable-power-bank-black-MOBSYSKA-PORTABSYSK165625EE2B551A-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C26%7C%7C%7C%7C&get_review_id=337419583,"1,799"
Portronics POR-808 20000 mAh Portable Power Bank - White,http://www.paytmmall.com/portronics-por-808-power-box-20k-20000mah-power-bank-with-single-usb-output-white-MOBPORTRONICS-PPORT23204BEE34328-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C27%7C%7C%7C%7C&get_review_id=300624144,"1,429"
Syska P2008J 20000 mAh Power Bank - Grey,http://www.paytmmall.com/syska-p2008j-20000mah-li-polymer-power-bank-grey-CMPLXMOBSYSKA-P2008JUNIV241177AAF8D03-pdp?product_id=304524539&sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C28%7C%7C%7C%7C&get_review_id=302857959,"1,580"
Ambrane PowerLit XL 20000 mAh Fast Charging Power Bank - Red,http://www.paytmmall.com/ambrane-powerlit-xl-20000-mah-fast-charging-power-bank-red-MOBAMBRANE-POWEBJ-I586126D822C59C-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C29%7C%7C%7C%7C&get_review_id=333765330,"1,599"
Portronics POR 1113 20000 mAh Portable Power Bank - Black,http://www.paytmmall.com/portronics-20000-mah-portable-power-bank-black-MOBPORTRONICS-PPORT23204E1E0162C-pdp?sid=5c106048-ed99-442c-bc84-a9ef389abb6e&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C30%7C%7C%7C%7C&get_review_id=335866767,"1,099"
